"UTC","EV","RF","RH","T","Wd","Ws"
2021-04-21 01:00:00,2913.59,81.75,66.11,18.41,110.0,2.0
2021-04-21 01:10:00,2913.74,81.75,64.88,18.83,133.0,2.33
2021-04-21 01:20:00,2913.89,81.75,63.54,19.52,85.0,1.44
2021-04-21 01:30:00,2914.05,81.75,60.55,20.15,169.0,1.67
2021-04-21 01:40:00,2914.21,81.75,59.74,20.47,164.0,1.22
2021-04-21 01:50:00,2914.38,81.75,58.74,20.87,93.0,1.22
2021-04-21 02:00:00,2914.55,81.75,57.16,21.39,172.0,1.0
2021-04-21 02:10:00,2914.74,81.75,55.55,21.65,102.0,1.11
2021-04-21 02:20:00,2914.93,81.75,54.05,22.33,149.0,1.11
2021-04-21 02:30:00,2915.14,81.75,53.02,22.82,141.0,1.44
2021-04-21 02:40:00,2915.37,81.75,52.41,22.73,107.0,2.44
2021-04-21 02:50:00,2915.58,81.75,51.59,23.11,83.0,1.67
2021-04-21 03:00:00,2915.8,81.75,51.19,23.18,81.0,0.44
2021-04-21 03:10:00,2916.05,81.75,47.07,24.12,77.0,2.11
2021-04-21 03:20:00,2916.32,81.75,48.89,23.38,149.0,2.11
2021-04-21 03:30:00,2916.57,81.75,48.47,23.72,134.0,2.11
2021-04-21 03:40:00,2916.84,81.75,46.79,24.15,99.0,3.66
2021-04-21 03:50:00,2917.11,81.75,46.92,23.96,49.0,2.44
2021-04-21 04:00:00,2917.38,81.75,45.99,24.54,132.0,1.44
2021-04-21 04:10:00,2917.55,81.75,44.76,24.91,152.0,0.44
2021-04-21 04:20:00,2917.72,81.75,46.01,24.45,175.0,0.89
2021-04-21 04:30:00,2917.87,81.75,45.16,24.38,74.0,1.78
2021-04-21 04:40:00,2918.14,81.75,42.78,24.9,105.0,2.11
2021-04-21 04:50:00,2918.42,81.75,43.68,24.55,156.0,1.67
2021-04-21 05:00:00,2918.7,81.75,42.73,25.02,92.0,2.0
2021-04-21 05:10:00,2918.98,81.75,40.31,25.34,135.0,1.67
2021-04-21 05:20:00,2919.24,81.75,42.42,25.13,122.0,1.33
2021-04-21 05:30:00,2919.49,81.75,40.2,25.63,159.0,1.55
